number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
2814,249,4,5,531.5,669.1,0.8,179.54,40.35,172.3,71,415,154,198,Jordan Peterson - How To Stop Procrastinating,https://www.youtube.com/watch?v=OoA4017M7WU
1748,296,4,5,343.5,497.9,0.7,245.37,49.5,241.5,82,422,209,278,Jordan Peterson - Go Out and Make Something of Yourself!,https://www.youtube.com/watch?v=QUAZDfND_dE
2140,150,4,5,414.3,515.6,0.8,184.14,42.07,176.0,70,407,157,202,Jordan Peterson - Don't Sacrifice What You Could Be for What You Are,https://www.youtube.com/watch?v=9CoL0ZuruWE
973,204,3,5,183.3,351.9,0.5,187.73,42.54,180.5,71,417,158,209,Jordan Peterson - You Need a Routine!,https://www.youtube.com/watch?v=YFeIRVueNRM
2418,152,4,5,478.6,579.1,0.8,210.36,41.72,204.9,74,421,183,233,Jordan Peterson - Wasting Time and Opportunities,https://www.youtube.com/watch?v=xY48e1oDXSU
877,74,4,5,163.3,200.7,0.8,166.06,31.78,162.5,74,371,143,185,Jordan Peterson - Don't Practice What You Don't Want To Become,https://www.youtube.com/watch?v=fmnqnCi0j_8
936,77,4,5,185.0,239.1,0.8,209.32,46.09,204.2,72,413,180,233,Jordan Peterson - Get Over Your Fear of Rejection!,https://www.youtube.com/watch?v=N-o2nnDF_So
1106,98,4,5,215.4,275.8,0.8,187.78,38.55,181.1,71,423,163,206,Jordan Peterson - Failing A Class,https://www.youtube.com/watch?v=HVHI_wOA23I
1947,299,3,5,381.0,589.9,0.6,196.96,41.85,188.5,70,422,168,219,Jordan Peterson - Self Authoring Program,https://www.youtube.com/watch?v=CZ_g0J2SPpM
1549,177,3,5,306.1,479.8,0.6,182.45,47.59,171.3,71,397,151,205,Jordan Peterson - Sort Yourself Out And Make It Manifest In The World,https://www.youtube.com/watch?v=KjpuxiV-_Es
2251,249,4,5,429.4,583.8,0.7,184.51,42.32,177.7,70,389,157,205,Jordan Peterson - How To Deal With Life's Error Messages,https://www.youtube.com/watch?v=d_Dh56d8K1w
504,70,3,5,108.0,156.4,0.7,224.5,41.95,221.3,81,420,197,248,Jordan Peterson - Rooms That Make You Uncomfortable And Sick,https://www.youtube.com/watch?v=Yu7lsi8-020
1425,147,4,5,301.0,387.1,0.8,181.85,39.28,174.6,70,396,158,199,Jordan Peterson - You're Screwed No Matter What You Do,https://www.youtube.com/watch?v=Qb5nP4tM_BM
820,94,4,5,169.6,228.8,0.7,171.45,48.19,163.3,70,377,142,194,"Jordan Peterson - Do What is Meaningful, Not What is Expedient",https://www.youtube.com/watch?v=a28j1G5OUqY
877,210,3,5,179.6,322.1,0.6,189.07,41.95,182.1,71,392,162,209,Jordan Peterson - Challenging Your Boring Life,https://www.youtube.com/watch?v=OJ0UNZFYSnM
1295,125,3,4,304.0,386.8,0.8,221.48,44.67,218.2,72,422,190,249,"Jordan Peterson - The Nobler Your Aim, The Better Your Life",https://www.youtube.com/watch?v=egrM-aNi6to
2951,262,4,5,566.9,741.6,0.8,199.74,50.36,193.6,65,422,166,227,Jordan Peterson - Growing Up and Being Useful is The New Counterculture,https://www.youtube.com/watch?v=QctT0Oc_uQQ
551,49,4,5,104.9,139.9,0.8,202.29,47.61,195.4,71,385,170,227,Jordan Peterson - Humans are a cancer on the planet What a hell of a thing to say!,https://www.youtube.com/watch?v=Dr5z_hFzQhw
1739,155,4,5,350.0,436.2,0.8,184.47,41.22,177.0,68,393,157,206,Jordan Peterson - Encountering Obstacles In Life,https://www.youtube.com/watch?v=VrNM-JCGGfI
1050,89,4,5,212.6,278.6,0.8,159.51,47.61,154.3,70,393,128,185,Jordan Peterson - Clean Up Your Room!,https://www.youtube.com/watch?v=BBR5v89L6gk
2165,202,4,5,410.5,523.0,0.8,176.11,36.7,171.0,71,396,152,193,Jordan Peterson - Stop Hiding! You Are Stronger Than You Think,https://www.youtube.com/watch?v=z3tHo2rQ9Y4
1083,143,4,5,207.3,296.1,0.7,187.54,46.44,178.7,72,422,157,208,Jordan Peterson - You're Not As Much Of A Rabbit As You Think!,https://www.youtube.com/watch?v=SHkKVMCgXLk
2082,263,4,5,435.5,586.7,0.7,208.1,50.77,203.6,71,421,178,237,Jordan Peterson - Is Life Worth The Suffering,https://www.youtube.com/watch?v=h194kSmK3SQ
781,102,3,5,166.6,255.0,0.7,209.09,56.16,201.2,71,411,169,243,Where Does Jordan Peterson Fall Short in his own 12 Rules for Life,https://www.youtube.com/watch?v=PdN6i9LBAs4
1802,309,3,5,341.1,583.5,0.6,217.93,47.41,211.1,68,418,183,245,Jordan Peterson - Face the Demons of your Imagination and Grow Up,https://www.youtube.com/watch?v=SoK3Flt2PM0
