number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
3750,348,4,5,804.1,1063.5,0.8,120.81,24.44,117.6,75,390,106,132,"President Reagan's Address to the Nation on the Upcoming US-USSR Summit in Geneva, November 14, 1985",https://www.youtube.com/watch?v=JgNMD-OuEAs
3772,305,3,3,1250.5,1498.9,0.8,126.35,31.73,120.8,76,396,109,136,"President Reagan's Address to Congress on the Geneva Summit at the US Capitol, November 21, 1985",https://www.youtube.com/watch?v=OofADKCUgTE
4871,460,4,5,989.1,1360.9,0.7,125.8,21.85,123.0,72,366,111,137,"President Reagan's Address to the Nation on Federal Tax Reduction Legislation, July 27, 1981",https://www.youtube.com/watch?v=gfq_1tJ3K18
4453,457,2,3,1398.0,1787.6,0.8,122.23,28.34,117.9,71,392,105,133,"President Reagan's Address at Notre Dame University in South Bend, Indiana, May 17, 1981",https://www.youtube.com/watch?v=C_IlkhqeOB0
2470,268,3,5,486.9,711.0,0.7,117.61,19.03,116.8,73,380,104,130,"President Reagan's Address to the Nation regarding the Tower Commission Report, March 4, 1987",https://www.youtube.com/watch?v=j2Ic4_EaC0s
6646,19,3,3,2269.5,2288.8,1.0,130.08,54.33,109.2,62,412,98,130,"President Reagan's Address to the Royal Institute of International Affairs, June 3, 1988",https://www.youtube.com/watch?v=0kv5tqF8ask
11866,1233,3,4,2647.3,3717.4,0.7,128.97,33.91,121.5,58,423,110,140,"President Reagan's Address and Q & A Session at Moscow State University, USSR, May 31, 1988",https://www.youtube.com/watch?v=M3q_T5yZV-U
3932,407,3,5,818.5,1153.2,0.7,126.47,20.52,125.4,71,361,113,139,"President Reagan's Address to the Nation on the Venice Economic Summit, June 15, 1987",https://www.youtube.com/watch?v=QJ92il176oQ
4492,373,3,4,1281.9,1580.2,0.8,151.97,48.39,143.4,71,423,126,162,"President Ronald Reagan's Speech at the Berlin Wall, June 12, 1987",https://www.youtube.com/watch?v=Pg6caczic0A
6069,568,3,4,1684.5,2145.3,0.8,123.16,26.24,119.6,73,412,107,134,"President Reagan's Address on Domestic Policy in Washington DC on December 13, 1988",https://www.youtube.com/watch?v=c_j5a73Seuc
10002,1107,3,4,2388.1,3250.4,0.7,121.19,29.45,116.4,72,415,104,131,"President Reagan's Foreign Policy speech at Cabell Hall at the Univ. of Virginia, December 16, 1988",https://www.youtube.com/watch?v=Xxq5NegDhjk
4434,285,3,4,1199.1,1379.2,0.9,157.4,40.58,150.5,62,424,135,171,"President Reagan's Remarks at the Dedication of the Carter Presidential Library, October 1, 1986",https://www.youtube.com/watch?v=GWTEUOjk2vs
5909,639,3,4,1332.3,1911.4,0.7,137.14,26.67,135.4,71,398,120,152,"President Reagan's Address to the United Nations in New York City, New York, September 22, 1986",https://www.youtube.com/watch?v=VlqUXtKWRf8
4452,349,4,5,928.3,1178.4,0.8,119.24,18.37,118.3,71,324,107,130,"President Reagan's Address to the Nation on Meetings with Gorbachev in Iceland, October 13, 1986",https://www.youtube.com/watch?v=CDi5g_9j9HM
917,74,4,5,190.0,253.0,0.8,122.8,19.96,121.3,76,347,110,134,"President Reagan's Address to the Nation on the Iran-Contra Affair, December 2, 1986",https://www.youtube.com/watch?v=D4vYBwc05ko
2635,246,4,5,547.1,745.8,0.7,122.91,21.71,120.8,71,324,108,136,"President Reagan's Address to the Nation on the Iran-Contra Controversy, November 13, 1986",https://www.youtube.com/watch?v=rYdvBZxPhLY
3570,411,3,5,743.0,1096.3,0.7,112.03,20.77,109.3,75,381,98,123,"President Reagan's Address to the Nation on the U.S. - U.S.S.R. Summit, December 10, 1987",https://www.youtube.com/watch?v=C32qWrb-xtA
4765,453,4,5,944.3,1295.3,0.7,122.92,22.51,120.9,71,399,108,136,"President Reagan's Address to the Nation on Aid to the Contras from the Oval Office February 2, 1988",https://www.youtube.com/watch?v=MD4JrXmCbi0
4243,481,3,5,853.3,1289.7,0.7,119.58,20.88,118.2,75,396,106,130,"President Ronald Reagan's Farewell Address to the Nation. January 11, 1989",https://www.youtube.com/watch?v=FjECSv8KFN4
1818,176,4,5,372.4,511.8,0.7,114.84,18.88,113.1,75,399,101,127,"President Reagan's Address to the Nation on the Nomination of Judge Bork, October 14, 1987",https://www.youtube.com/watch?v=TSkRtD7YaLM
5742,706,3,5,1258.1,1934.1,0.7,136.44,24.93,134.0,70,398,121,150,"President Reagan's Address to the United Nations in New York City, New York, September 21, 1987",https://www.youtube.com/watch?v=dJ-mf8agFP0
3338,304,4,5,678.3,933.3,0.7,124.38,21.23,123.1,73,358,110,137,"President Reagan's Address to the Nation on Iran-Contra Affair from the Oval Office, August 12, 1987",https://www.youtube.com/watch?v=DJ_7ZhpLS80
5461,472,3,4,1236.7,1666.6,0.7,143.69,42.16,134.0,70,423,118,154,"President Reagan's Address on America's Economic Bill of Rights on July 3, 1987",https://www.youtube.com/watch?v=O4dBgimr3tk
2042,206,3,4,579.2,760.2,0.8,127.12,40.29,118.8,68,395,107,132,"President Reagan's Remarks at the Vietnam Veterans Memorial on November 11, 1988",https://www.youtube.com/watch?v=oqIUyzfUcWE
7160,869,3,5,1557.7,2330.8,0.7,124.3,23.42,121.6,62,378,111,135,"President Reagan's Address to the United Nations General Assembly, New York, September 26, 1988",https://www.youtube.com/watch?v=H2_4jpsL1jI
