number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
6195,341,4,5,1313.5,1515.5,0.9,125.08,32.5,117.4,75,399,105,132,Sagittarius This Change Hits Fast! And It’s Meant For You! Rest Of 2025 Tarot,https://www.youtube.com/watch?v=SN6mTZHqVoQ
6846,377,4,5,1425.2,1641.2,0.9,125.49,33.1,117.7,72,397,105,133,Leo You’re Giving It One Last Shot! And It Pays Off! Rest Of 2025 Tarot,https://www.youtube.com/watch?v=lie0WjdC2xU
6318,353,4,5,1325.0,1535.0,0.9,125.96,33.4,118.1,78,397,105,135,Libra This Feels BIG! Don’t Ignore the Signs This Week! August 25th - 31st Tarot,https://www.youtube.com/watch?v=7-qxOUG0moE
6574,377,4,5,1381.4,1600.6,0.9,125.29,33.15,117.1,77,392,105,134,Capricorn This Is It ! You’re Ready To Grab What’s Yours! August 25th - 31st Tarot,https://www.youtube.com/watch?v=UBZpqErYcNo
6525,368,4,5,1365.9,1577.4,0.9,125.16,33.58,116.9,77,399,105,133,Aries Unbreakable! You’re Stepping Into Your Power Now! September 2025 Tarot,https://www.youtube.com/watch?v=iUBBf9tnIac
6465,360,4,5,1364.1,1556.5,0.9,121.75,30.47,114.8,72,395,104,128,Libra You've Waited For This AND You Will Surprise Everyone With This Change! Mid September Tarot,https://www.youtube.com/watch?v=fxhWDANxyhM
6278,385,4,5,1350.3,1561.7,0.9,121.92,28.99,115.7,77,399,105,129,Aries Get Ready! This Breakthrough Will Make You Very Happy! Mid September Tarot,https://www.youtube.com/watch?v=kiCG9AWJOOU
6410,382,4,5,1333.0,1554.3,0.9,124.03,32.46,116.7,77,407,104,132,Cancer You Wont Believe how Great This Will Be! September 8th - 14th Tarot,https://www.youtube.com/watch?v=6V91wFejVfA
6353,363,4,5,1334.7,1547.4,0.9,125.35,31.5,118.4,72,398,107,133,Scorpio This Second Chance Will Change Everything! September 8th - 14th Tarot,https://www.youtube.com/watch?v=930q77r6wAY
6334,372,4,5,1329.4,1544.1,0.9,126.11,33.34,118.1,70,399,105,135,Cancer Chills! This Change Will Shape Your Entire Reality! Eclipse Season Tarot,https://www.youtube.com/watch?v=a2ENbb6_Qss
7309,446,4,5,1556.4,1799.8,0.9,123.9,31.5,117.2,71,400,105,132,Pisces You’re Closer Than You Think! Don’t Give Up Now! September 8th - 14th Tarot,https://www.youtube.com/watch?v=3X63i5hh9XY
6487,354,4,5,1356.5,1552.0,0.9,126.78,30.22,120.2,77,399,108,135,Gemini Sudden Change Ahead! This Will Be A Blessing In Disguise! September Bonus Tarot,https://www.youtube.com/watch?v=SvpYjdSqpYA
6389,340,4,5,1337.0,1528.2,0.9,124.72,29.52,118.0,78,401,107,131,Leo You’re Being Called to Something Bigger! October 2025 Tarot,https://www.youtube.com/watch?v=C41wflk-vxI
6449,413,4,5,1390.5,1622.3,0.9,123.28,30.22,116.6,77,398,105,131,Pisces Life Changing Realization! I Would Listen To This If I Were You! October 2025 Tarot,https://www.youtube.com/watch?v=ahcgxxBL_Nk
6698,381,4,5,1393.0,1608.1,0.9,125.59,32.47,118.2,77,398,106,134,Aquarius Happening Fast! Don’t Miss This One Thing! Eclipse Season Tarot,https://www.youtube.com/watch?v=0E_qoFyhmj8
6776,392,4,5,1414.1,1645.3,0.9,124.98,31.33,117.8,78,401,106,132,Sagittarius Big Reveal! What You Learn Will Change You! Eclipse Season Tarot,https://www.youtube.com/watch?v=7kSHKZ4s0WM
6424,374,4,5,1370.0,1576.3,0.9,126.17,29.56,119.5,77,395,109,134,Sagittarius Finally! A Win You’ve Been Waiting Years For! October - December 2025 Tarot,https://www.youtube.com/watch?v=PTxSyP8s8ek
6405,354,4,5,1352.6,1551.1,0.9,125.11,29.59,118.5,75,400,107,133,Virgo This Changes Everything Virgo! You’re Going To Love This! October 2025 Tarot,https://www.youtube.com/watch?v=bvrL5beSoS4
6308,408,4,5,1345.1,1575.9,0.9,120.67,30.01,114.2,71,400,103,127,Cancer Can’t Ignore This Anymore! October 2025 Tarot,https://www.youtube.com/watch?v=VTNxLanFL3g
6225,356,4,5,1316.5,1523.9,0.9,127.17,31.24,119.8,77,399,109,135,Sagittarius Your Future Self Is BEGGING You To Watch This! September 2025 Tarot,https://www.youtube.com/watch?v=4NMexa3wTMo
6127,358,4,5,1315.0,1527.3,0.9,128.61,32.62,120.6,70,397,110,136,Virgo Speechless! You’re The Center Of Attention This Month! September 2025 Tarot,https://www.youtube.com/watch?v=DIdmSEyfpmI
6653,400,4,5,1381.7,1603.4,0.9,126.5,33.51,118.3,77,400,106,135,Capricorn I Would Listen To This If I Were You Capricorn! September 2025 Tarot,https://www.youtube.com/watch?v=aZOdefbW5Q0
6385,374,4,5,1317.6,1559.1,0.8,126.66,31.81,119.2,74,391,107,135,Gemini Destiny Strikes! You Are Being Redirected FAST! Eclipse Season Tarot,https://www.youtube.com/watch?v=224MY2ZcOuM
6438,354,4,5,1357.7,1563.8,0.9,126.62,32.37,119.1,77,399,107,135,Scorpio You’re Finally Free (If You Do This)🔥 Eclipse Season Tarot,https://www.youtube.com/watch?v=vE6JycIg2j4
6205,371,4,5,1316.3,1513.5,0.9,123.25,29.94,116.7,78,396,105,130,Taurus Be Ready! This Is Serious!  Mid September Tarot,https://www.youtube.com/watch?v=mO70vtVS1Ro
7304,472,4,5,1542.7,1819.7,0.8,119.96,31.06,113.1,78,400,101,128,Libra Out Of Nowhere! You’re Being Pushed Into Your Destiny! Eclipse Season Tarot,https://www.youtube.com/watch?v=6A-nOMtOAOI
6591,358,4,5,1356.6,1571.2,0.9,126.11,32.08,118.7,75,415,107,134,Virgo Speechless! You’re About To Shock Yourself Virgo! Eclipse Season Tarot,https://www.youtube.com/watch?v=Fy1vrhtK9qk
6789,381,4,5,1430.3,1649.0,0.9,123.81,32.0,116.4,78,403,104,132,Pisces Revealed! You've Waited Years To Understand This! Eclipse Season Tarot,https://www.youtube.com/watch?v=-Lqp4vVNowE
6632,383,4,5,1366.5,1587.2,0.9,126.64,32.82,119.0,71,399,106,135,Sagittarius Everything Changes When You Make This Move! September Bonus Tarot,https://www.youtube.com/watch?v=OoO9oXlyf58
6418,365,4,5,1330.8,1529.1,0.9,121.84,32.62,114.7,71,398,102,130,Libra Destiny Shift! You're About To Feel It Deeply! September Bonus Tarot,https://www.youtube.com/watch?v=sTrhReDqDFg
6579,368,4,5,1408.3,1619.2,0.9,124.12,29.94,117.7,77,394,106,132,Capricorn You’re Finally Seeing the Results You Deserve! October 2025 Tarot,https://www.youtube.com/watch?v=2Svmvc9CQxM
6815,374,4,5,1475.0,1689.8,0.9,123.74,30.4,116.9,76,392,106,130,Taurus Finally! The Cycle Ends and the Real You Emerges! October 2025 Tarot,https://www.youtube.com/watch?v=8KNNPfhpIk0
6222,341,4,5,1321.6,1510.9,0.9,123.63,28.81,117.3,75,398,106,131,Leo It’s Time to Lock In Your Big Dream (For Real This Time) October 2025 Tarot,https://www.youtube.com/watch?v=sp1ybhMTlmE
6322,353,4,5,1355.5,1554.8,0.9,125.2,29.06,118.6,75,395,108,133,Gemini This Won’t Happen Again In Your Lifetime! October 2025 Tarot,https://www.youtube.com/watch?v=CkArK2vfZvo
6342,356,4,5,1329.1,1522.4,0.9,125.85,29.0,119.4,71,401,109,133,Sagittarius A Crossroads With Huge Rewards! October 2025 Tarot,https://www.youtube.com/watch?v=HQcN6GydM8M
6187,368,4,5,1334.3,1539.5,0.9,126.04,30.14,119.2,76,399,108,133,Aquarius Fast Forward! Things Start Moving Quickly Now! October 2025 Tarot,https://www.youtube.com/watch?v=H03yZVGCuM4
6262,368,4,5,1321.6,1528.0,0.9,126.68,33.87,118.5,77,393,106,135,Leo On Top Of The World! But Wait Until You See Why! August 25th - 31st Tarot,https://www.youtube.com/watch?v=gfRwBcBXp88
6645,377,4,5,1390.8,1595.2,0.9,124.94,33.29,117.4,72,402,104,134,Gemini This Shakes Everything Up Gemini! You Need To Hear This! August 25th - 31st Tarot,https://www.youtube.com/watch?v=3e0MyjOycBo
6367,370,4,5,1382.1,1572.8,0.9,123.19,29.79,116.4,77,379,105,130,Taurus Can't Make This Up! Everything Shifts After This Moment! October - December 2025 Tarot,https://www.youtube.com/watch?v=OKjtvt6BLf0
6451,373,4,5,1387.2,1590.5,0.9,124.37,28.88,117.9,71,398,107,132,Capricorn You’re Breaking the Mold! This Changes Everything! October - December 2025 Tarot,https://www.youtube.com/watch?v=IN1gxdB96cM
6425,369,4,5,1367.2,1577.1,0.9,126.27,31.77,119.0,78,406,107,135,Leo Miracle Incoming! But You Must Do This First! September 2025 Tarot,https://www.youtube.com/watch?v=s_qrJTjg4nA
7235,389,4,5,1513.4,1729.0,0.9,127.67,32.67,119.8,77,400,108,136,Aquarius One Brave Decision Changes Your Entire Story!  September 2025 Tarot,https://www.youtube.com/watch?v=HAkDJNN7wsw
6844,375,4,5,1411.1,1629.3,0.9,124.24,31.69,117.0,73,395,105,132,Capricorn This Second Chance Is Bigger Than You Think! September Bonus Tarot,https://www.youtube.com/watch?v=O7wA3yh4Yi4
6308,385,4,5,1334.1,1547.5,0.9,125.22,30.8,118.2,74,397,106,133,Scorpio Unreal Growth Incoming But You Must Say Yes First! October - December 2025 Tarot,https://www.youtube.com/watch?v=aUtJDul3ROs
6350,404,4,5,1330.0,1552.2,0.9,124.62,32.35,116.7,78,399,105,132,Cancer Fortune After Difficulty! October - December 2025 Tarot,https://www.youtube.com/watch?v=ekpmEjHxz5Q
6937,367,4,5,1458.8,1659.0,0.9,127.38,32.45,119.6,77,397,108,135,Gemini Pay Close Attention! This Changes Everything For You! September 2025 Tarot,https://www.youtube.com/watch?v=ZP_QyibkNMI
6235,357,4,5,1331.3,1529.2,0.9,124.49,29.22,118.2,74,387,107,132,Leo Everything You Have Ever Wanted! Mid September Tarot,https://www.youtube.com/watch?v=PT6g1Gy0BSE
7495,458,4,5,1558.4,1811.2,0.9,125.1,32.84,117.1,77,398,105,133,Pisces Massive Shift! Your Next 3 Months Will Surprise You! October - December 2025 Tarot,https://www.youtube.com/watch?v=HTMVs6ga51A
6424,402,4,5,1347.9,1587.8,0.8,124.04,32.14,116.9,73,392,104,132,"Leo The Struggle Was Real, But So Is Your Win! September Bonus Tarot",https://www.youtube.com/watch?v=UjtNxzTobho
6771,452,4,5,1393.8,1638.2,0.9,123.54,33.14,116.1,70,396,103,132,Aries Let Go Fast! Something Way Better Is Coming! September Bonus Tarot,https://www.youtube.com/watch?v=PsVyvOnBMjs
6443,394,4,5,1344.1,1564.9,0.9,125.59,28.58,119.1,77,391,109,133,Gemini You Won’t Believe What Happens Next!! Mid September Tarot,https://www.youtube.com/watch?v=ToQp1d-joXE
6250,374,4,5,1334.6,1551.0,0.9,124.94,29.4,118.3,71,400,108,132,Scorpio Goosebumps! You're About To Break Free For Good! Mid September Tarot,https://www.youtube.com/watch?v=jyGjAiyX-vg
6304,380,4,5,1342.6,1553.3,0.9,121.75,29.51,115.3,71,398,104,128,Aries This Is Bigger Than You Realize October 2025 Tarot,https://www.youtube.com/watch?v=FofuXK5L5n0
6519,375,4,5,1396.7,1605.6,0.9,120.73,30.82,113.7,72,400,103,127,Libra Big Shift! You Finally See How Far You’ve Come October 2025 Tarot,https://www.youtube.com/watch?v=qeRyJPplq9E
6075,369,4,5,1314.5,1524.8,0.9,127.15,28.32,120.7,72,399,111,135,Gemini Get Ready Life’s About To Speed Up! October 2025 Tarot,https://www.youtube.com/watch?v=hw4DVv0Hils
6357,392,4,5,1360.3,1576.7,0.9,122.71,30.0,116.0,77,398,105,129,Scorpio Rebirth Begins! You Won’t Believe What Happens Next! October 2025 Tarot,https://www.youtube.com/watch?v=wGtMVex8GHk
6216,377,4,5,1307.3,1513.7,0.9,126.34,29.42,119.9,73,391,109,134,Sagittarius Destiny That Can't Be Stopped! Mid September Tarot,https://www.youtube.com/watch?v=qAVlUoBvkrs
6137,399,4,5,1314.9,1536.7,0.9,124.47,28.68,118.3,74,402,107,132,Aquarius A Surprise Outcome Is Coming for You! Mid September Tarot,https://www.youtube.com/watch?v=Z6xqEufpxKs
6396,377,4,5,1358.0,1567.1,0.9,127.02,29.61,120.4,73,398,109,135,Scorpio You’ve Waited Long Enough It’s Time! October 2025 Tarot,https://www.youtube.com/watch?v=F5l4aKnvEYk
6298,366,4,5,1357.5,1563.9,0.9,125.27,30.61,118.4,72,400,107,133,Cancer Fated Shift! You Can’t Unsee This Truth October 2025 Tarot,https://www.youtube.com/watch?v=JRwxAHLRBSI
6348,385,4,5,1345.6,1553.1,0.9,123.61,29.51,117.2,78,397,106,131,Aquarius A Grand Entrance Into The Life You Were Meant For October 2025 Tarot,https://www.youtube.com/watch?v=vNw6cdri76I
6494,371,4,5,1386.2,1592.0,0.9,122.31,29.5,115.9,77,399,104,130,Capricorn You’re On The Brink Of Something Big! October 2025 Tarot,https://www.youtube.com/watch?v=oXY0OIRL5sY
6213,366,4,5,1306.2,1513.8,0.9,125.23,32.69,117.6,74,400,105,133,Cancer You’re About To Be Surprised By This Person! August 25th - 31st Tarot,https://www.youtube.com/watch?v=EdfjJP79qSo
6435,325,4,5,1347.8,1536.1,0.9,127.63,32.8,119.8,73,393,107,136,Scorpio Don't Wait! This Message Changes Everything! August 25th - 31st Tarot,https://www.youtube.com/watch?v=64Wt8XUd6Ew
6396,349,4,5,1338.8,1530.1,0.9,126.81,30.03,119.9,74,395,109,134,Virgo Major Confirmation! You’re Not Stuck Anymore! October - December 2025 Tarot,https://www.youtube.com/watch?v=VfOUY-t8R0w
